2025-02-25 10:36:21,988 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 21/50
2025-02-25 10:36:25,870 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 31/50
2025-02-25 10:36:28,596 - __main__ - INFO - PubMed 논문 처리 중: 복직근, 41/50
2025-02-25 10:36:36,089 - __main__ - INFO - PubMed 검색 시작: 외복사근, 검색어: 'external oblique AND external oblique stretching'
2025-02-25 10:36:36,899 - __main__ - INFO - PubMed 검색 결과: 외복사근, 50개 논문 ID 발견
2025-02-25 10:36:36,899 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 1/50
2025-02-25 10:36:39,850 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 11/50
2025-02-25 10:36:42,482 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 21/50
2025-02-25 10:36:45,622 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 31/50
2025-02-25 10:36:48,189 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 41/50
2025-02-25 10:36:53,191 - __main__ - INFO - PubMed 검색 시작: 외복사근, 검색어: 'external oblique AND side stretching'
2025-02-25 10:36:53,547 - __main__ - INFO - PubMed 검색 결과: 외복사근, 2개 논문 ID 발견
2025-02-25 10:36:53,548 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 1/2
2025-02-25 10:36:55,106 - __main__ - INFO - PubMed 검색 시작: 외복사근, 검색어: 'external oblique AND waist pain'
2025-02-25 10:36:55,469 - __main__ - INFO - PubMed 검색 결과: 외복사근, 4개 논문 ID 발견
2025-02-25 10:36:55,469 - __main__ - INFO - PubMed 논문 처리 중: 외복사근, 1/4
2025-02-25 10:37:00,746 - __main__ - INFO - PubMed 검색 시작: 내전근, 검색어: 'adductor muscles AND adductor stretching'
2025-02-25 10:37:01,541 - __main__ - INFO - PubMed 검색 결과: 내전근, 50개 논문 ID 발견
2025-02-25 10:37:01,541 - __main__ - INFO - PubMed 논문 처리 중: 내전근, 1/50
2025-02-25 10:37:05,348 - __main__ - INFO - PubMed 논문 처리 중: 내전근, 11/50
2025-02-25 10:37:07,917 - __main__ - INFO - PubMed 논문 처리 중: 내전근, 21/50
2025-02-25 10:37:10,736 - __main__ - INFO - PubMed 논문 처리 중: 내전근, 31/50
2025-02-25 10:37:13,420 - __main__ - INFO - PubMed 논문 처리 중: 내전근, 41/50
